Equipment,Port,Command,Response,Validation,,,,
Keysight PNA-X N5222B,5560,*IDN?,Keysight Technologies,N5222B,US12345678,A.10.00.00,,
,,*OPC?,1,,,,,
,,*RST,OK,,,,,
,,*CLS,OK,,,,,
,,*ESE (.+),OK,"range:0,255",,,,
,,*ESE?,0,,,,,
,,*ESR?,0,,,,,
,,*SRE (.+),OK,"range:0,255",,,,
,,*SRE?,0,,,,,
,,*STB?,0,,,,,
,,*TST?,0,,,,,
,,*WAI,OK,,,,,
,,SYST:ERR?,0,No error,,,,
,,SYST:VERS?,1999,,,,,
,,SENS1:FREQ:START (.+),OK,"range:10e3,50e9",,,,
,,SENS1:FREQ:START?,1000000000,,,,,
,,SENS1:FREQ:STOP (.+),OK,"range:10e3,50e9",,,,
,,SENS1:FREQ:STOP?,50000000000,,,,,
,,SENS1:FREQ:CENT (.+),OK,"range:10e3,50e9",,,,
,,SENS1:FREQ:CENT?,25000000000,,,,,
,,SENS1:FREQ:SPAN (.+),OK,"range:1,50e9",,,,
,,SENS1:FREQ:SPAN?,49000000000,,,,,
,,SENS1:SWE:POIN (.+),OK,"range:2,100001",,,,
,,SENS1:SWE:POIN?,201,,,,,
,,SENS1:SWE:TYPE (.+),OK,"enum:LIN,LOG,POW,SEG",,,,
,,SENS1:SWE:TYPE?,LIN,,,,,
,,SENS1:SWE:TIME (.+),OK,"range:0,1e6",,,,
,,SENS1:SWE:TIME?,0.1,,,,,
,,SENS1:BAND (.+),OK,"range:1,1.5e6",,,,
,,SENS1:BAND?,1000,,,,,
,,SENS1:AVER:COUN (.+),OK,"range:1,65536",,,,
,,SENS1:AVER:COUN?,1,,,,,
,,SENS1:AVER:MODE (.+),OK,"enum:POIN,SWEEP",,,,
,,SENS1:AVER:MODE?,SWEEP,,,,,
,,SENS1:AVER (.+),OK,bool,,,,
,,SENS1:AVER?,OFF,,,,,
,,SOUR1:POW:PORT1 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT1?,0,,,,,
,,SOUR1:POW:PORT2 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT2?,0,,,,,
,,SOUR1:POW:PORT3 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT3?,0,,,,,
,,SOUR1:POW:PORT4 (.+),OK,"range:-85,10",,,,
,,SOUR1:POW:PORT4?,0,,,,,
,,SOUR1:POW:ALC:MODE (.+),OK,"enum:AUTO,MAN",,,,
,,SOUR1:POW:ALC:MODE?,AUTO,,,,,
,,SOUR1:POW:ATT (.+),OK,"range:0,60",,,,
,,SOUR1:POW:ATT?,0,,,,,
,,SOUR1:POW:ATT:AUTO (.+),OK,bool,,,,
,,SOUR1:POW:ATT:AUTO?,ON,,,,,
,,CALC1:PAR:DEF (.+),OK,"enum:S11,S12,S13,S14,S21,S22,S23,S24,S31,S32,S33,S34,S41,S42,S43,S44",,,,
,,CALC1:PAR:DEF?,S11,,,,,
,,CALC1:PAR:SEL,OK,,,,,
,,CALC1:DATA? FDAT,1,-45,0.8,-90,0.6,-135
,,CALC1:DATA? SDAT,1,0,0.8,-0.2,0.6,-0.4
,,CALC1:FORM (.+),OK,"enum:MLOG,PHAS,GDEL,SLIN,SLOG,SCOM,SMIT,SADM,POLAR,MLIN,SWR,REAL,IMAG",,,,
,,CALC1:FORM?,MLOG,,,,,
,,CALC1:MARK1 (.+),OK,bool,,,,
,,CALC1:MARK1?,OFF,,,,,
,,CALC1:MARK2 (.+),OK,bool,,,,
,,CALC1:MARK2?,OFF,,,,,
,,CALC1:MARK3 (.+),OK,bool,,,,
,,CALC1:MARK3?,OFF,,,,,
,,CALC1:MARK4 (.+),OK,bool,,,,
,,CALC1:MARK4?,OFF,,,,,
,,CALC1:MARK5 (.+),OK,bool,,,,
,,CALC1:MARK5?,OFF,,,,,
,,CALC1:MARK6 (.+),OK,bool,,,,
,,CALC1:MARK6?,OFF,,,,,
,,CALC1:MARK7 (.+),OK,bool,,,,
,,CALC1:MARK7?,OFF,,,,,
,,CALC1:MARK8 (.+),OK,bool,,,,
,,CALC1:MARK8?,OFF,,,,,
,,CALC1:MARK9 (.+),OK,bool,,,,
,,CALC1:MARK9?,OFF,,,,,
,,CALC1:MARK10 (.+),OK,bool,,,,
,,CALC1:MARK10?,OFF,,,,,
,,CALC1:MARK1:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK1:X?,1000000000,,,,,
,,CALC1:MARK1:Y?,0.5,-30,,,,
,,CALC1:MARK2:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK2:X?,1000000000,,,,,
,,CALC1:MARK2:Y?,0.5,-30,,,,
,,CALC1:MARK3:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK3:X?,1000000000,,,,,
,,CALC1:MARK3:Y?,0.5,-30,,,,
,,CALC1:MARK4:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK4:X?,1000000000,,,,,
,,CALC1:MARK4:Y?,0.5,-30,,,,
,,CALC1:MARK5:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK5:X?,1000000000,,,,,
,,CALC1:MARK5:Y?,0.5,-30,,,,
,,CALC1:MARK6:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK6:X?,1000000000,,,,,
,,CALC1:MARK6:Y?,0.5,-30,,,,
,,CALC1:MARK7:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK7:X?,1000000000,,,,,
,,CALC1:MARK7:Y?,0.5,-30,,,,
,,CALC1:MARK8:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK8:X?,1000000000,,,,,
,,CALC1:MARK8:Y?,0.5,-30,,,,
,,CALC1:MARK9:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK9:X?,1000000000,,,,,
,,CALC1:MARK9:Y?,0.5,-30,,,,
,,CALC1:MARK10:X (.+),OK,"range:10e3,50e9",,,,
,,CALC1:MARK10:X?,1000000000,,,,,
,,CALC1:MARK10:Y?,0.5,-30,,,,
,,CALC1:MARK1:FUNC:EXEC (.+),OK,"enum:MAX,MIN",,,,
,,CALC1:MARK1:FUNC:EXEC?,MAX,,,,,
,,CALC1:SNP:DATA? FDAT,"1.0,-45.0,0.8,-90.0,0.6,-135.0",,,,,
,,CALC1:SNP:DATA? SDAT,"1.0,0.0,0.8,-0.2,0.6,-0.4",,,,,
,,SENS1:CORR:STAT (.+),OK,bool,,,,
,,SENS1:CORR:STAT?,ON,,,,,
,,SENS1:CORR:COLL:ECAL (.+),OK,"enum:SOLT,TRL",,,,
,,SENS1:CORR:COLL:ECAL?,SOLT,,,,,
,,SENS1:CORR:COLL:ACQ,OK,,,,,
,,SENS1:CORR:COLL:SAVE,OK,,,,,
,,SENS1:CORR:TYPE (.+),OK,"enum:FULL1,FULL2,FULL3,FULL4",,,,
,,SENS1:CORR:TYPE?,FULL2,,,,,
,,SENS1:CORR:PREF:ECAL:ORI (.+),OK,bool,,,,
,,SENS1:CORR:PREF:ECAL:ORI?,ON,,,,,
,,SENS1:CORR:COLL:METH (.+),OK,"enum:SOLT1,SOLT2,SOLT3,SOLT4",,,,
,,SENS1:CORR:COLL:METH?,SOLT1,,,,,
,,DISP:WIND1:STAT (.+),OK,bool,,,,
,,DISP:WIND1:STAT?,ON,,,,,
,,DISP:WIND1:TRAC1:FEED (.+),OK,"enum:CH1_S11_1,CH1_S12_1,CH1_S21_1,CH1_S22_1",,,,
,,DISP:WIND1:TRAC1:FEED?,CH1_S11_1,,,,,
,,DISP:WIND:TRAC:Y:SCAL:AUTO,OK,,,,,
,,INIT:IMM,OK,,,,,
,,INIT:CONT (.+),OK,bool,,,,
,,INIT:CONT?,1,,,,,
,,TRIG:SOUR (.+),OK,"enum:INT,EXT,MAN,BUS",,,,
,,TRIG:SOUR?,INT,,,,,
,,TRIG:DEL (.+),OK,"range:0,3600",,,,
,,TRIG:DEL?,0,,,,,
,,MMEM:STOR:STAT (.+),OK,,,,,
,,"MMEM:STOR:STAT ""state.sta""",OK,,,,,
,,MMEM:LOAD:STAT (.+),OK,,,,,
,,"MMEM:LOAD:STAT ""state.sta""",OK,,,,,
,,OUTP (.+),OK,bool,,,,
,,OUTP?,1,,,,,
,,CALC1:FUNC:EXEC (.+),OK,"enum:AVG,MAX,MIN",,,,
,,CALC1:FUNC:DATA?,1,2,3,,,
,,SENS1:SEG1:FREQ:START (.+),OK,"range:10e3,50e9",,,,
,,SENS1:SEG1:FREQ:START?,1000000000,,,,,
,,SENS1:SEG1:FREQ:STOP (.+),OK,"range:10e3,50e9",,,,
,,SENS1:SEG1:FREQ:STOP?,2000000000,,,,,
,,SENS1:SEG1:POW (.+),OK,"range:-85,10",,,,
,,SENS1:SEG1:POW?,0,,,,,
,,SENS1:SEG1:SWE:POIN (.+),OK,"range:2,100001",,,,
,,SENS1:SEG1:SWE:POIN?,201,,,,,
,,SENS1:SEG:COUN?,1,,,,,
,,SENS1:SEG:DEL:ALL,OK,,,,,
,,CALC1:SMO:STAT (.+),OK,bool,,,,
,,CALC1:SMO:STAT?,OFF,,,,,
,,CALC1:SMO:APER (.+),OK,"range:1,25",,,,
,,CALC1:SMO:APER?,3,,,,,
,,CALC1:FIL:STAT (.+),OK,bool,,,,
,,CALC1:FIL:STAT?,OFF,,,,,
,,CALC1:FIL:BWID (.+),OK,"range:0.001,1",,,,
,,CALC1:FIL:BWID?,0.1,,,,,
,,CALC1:TRAN:TIME:STAT (.+),OK,bool,,,,
,,CALC1:TRAN:TIME:STAT?,OFF,,,,,
,,CALC1:TRAN:TIME:TYPE (.+),OK,"enum:BPAS,LPAS",,,,
,,CALC1:TRAN:TIME:TYPE?,BPAS,,,,,
,,CALC1:TRAN:TIME:CENT (.+),OK,"range:-10,10",,,,
,,CALC1:TRAN:TIME:CENT?,0,,,,,
,,CALC1:TRAN:TIME:SPAN (.+),OK,"range:0,10",,,,
,,CALC1:TRAN:TIME:SPAN?,0,,,,,
,,CALC1:TRAN:TIME:GATE:STAT (.+),OK,bool,,,,
,,CALC1:TRAN:TIME:GATE:STAT?,OFF,,,,,
,,CALC1:TRAN:TIME:GATE:TYPE (.+),OK,"enum:BPAS,NOTCH",,,,
,,CALC1:TRAN:TIME:GATE:TYPE?,BPAS,,,,,
,,CALC1:TRAN:TIME:GATE:CENT (.+),OK,"range:-10,10",,,,
,,CALC1:TRAN:TIME:GATE:CENT?,0,,,,,
,,CALC1:TRAN:TIME:GATE:SPAN (.+),OK,"range:0,10",,,,
,,CALC1:TRAN:TIME:GATE:SPAN?,0,,,,,
,,SENS1:PATH:PORT1 (.+),OK,"enum:1,2,3,4",,,,
,,SENS1:PATH:PORT1?,1,,,,,
,,SENS1:PATH:PORT2 (.+),OK,"enum:1,2,3,4",,,,
,,SENS1:PATH:PORT2?,2,,,,,
,,SENS1:PATH:PORT3 (.+),OK,"enum:1,2,3,4",,,,
,,SENS1:PATH:PORT3?,3,,,,,
,,SENS1:PATH:PORT4 (.+),OK,"enum:1,2,3,4",,,,
,,SENS1:PATH:PORT4?,4,,,,,
,,CALC1:FSIM:STAT (.+),OK,bool,,,,
,,CALC1:FSIM:STAT?,OFF,,,,,
,,CALC1:FSIM:TOP:DEF (.+),OK,"enum:SINGLE,BAL",,,,
,,CALC1:FSIM:TOP:DEF?,SINGLE,,,,,
,,CALC1:FSIM:BAL:PAR1 (.+),OK,"enum:SDD11,SDD12,SDD21,SDD22,SDC11,SDC12,SDC21,SDC22,SCD11,SCD12,SCD21,SCD22,SCC11,SCC12,SCC21,SCC22",,,,
,,CALC1:FSIM:BAL:PAR1?,SDD11,,,,,
,,CALC1:FSIM:BAL:PAR2 (.+),OK,"enum:SDD11,SDD12,SDD21,SDD22,SDC11,SDC12,SDC21,SDC22,SCD11,SCD12,SCD21,SCD22,SCC11,SCC12,SCC21,SCC22",,,,
,,CALC1:FSIM:BAL:PAR2?,SDD12,,,,,
,,CALC1:FSIM:EMB:NETW1:DATA? SDAT,1,0,0.8,-0.2,,
,,CALC1:FSIM:EMB:NETW1:DATA SDAT (.+),OK,,,,,
,,CALC1:FSIM:EMB:NETW1:STAT (.+),OK,bool,,,,
,,CALC1:FSIM:EMB:NETW1:STAT?,OFF,,,,,
,,CALC1:FSIM:EMB:NETW2:DATA? SDAT,1,0,0.8,-0.2,,
,,CALC1:FSIM:EMB:NETW2:DATA SDAT (.+),OK,,,,,
,,CALC1:FSIM:EMB:NETW2:STAT (.+),OK,bool,,,,
,,CALC1:FSIM:EMB:NETW2:STAT?,OFF,,,,,
,,CALC1:FSIM:SEND:DEEM:PORT1:SNP:REV (.+),OK,bool,,,,
,,CALC1:FSIM:SEND:DEEM:PORT1:SNP:REV?,0,,,,,
,,CALC1:FSIM:EMB:NETW1:PMAP (.+),OK,"enum:1,2,3,4",,,,
,,CALC1:FSIM:EMB:NETW1:PMAP?,1,,,,,
,,CALC1:FSIM:SNP:EXTR,OK,,,,,
,,CALC1:FSIM:SNP:EXTR?,0,,,,,
,,CSET:FIXT:DEEM,OK,,,,,
,,CSET:FIXT:EMBED,OK,,,,,
,,SENS1:MIX:RECALCULATE,OK,,,,,
,,SENS1:MIX:SEGM1:CALC,OK,,,,,
,,SENS1:MIX:SEGM:COUN?,1,,,,,
,,SENS1:MIX:SEGM1:ADD,OK,,,,,
,,SENS1:MIX:SEGM1:DEL,OK,,,,,
,,SENS1:ACT:DISP:INT (.+),OK,bool,,,,
,,SENS1:ACT:DISP:INT?,OFF,,,,,
,,SENS1:ACT:DISP:TRAC:IPW (.+),OK,"range:-85,10",,,,
,,SENS1:ACT:DISP:TRAC:IPW?,0,,,,,
,,SENS1:ACT:SWE:PHASE:POIN (.+),OK,"range:2,100001",,,,
,,SENS1:ACT:SWE:PHASE:POIN?,201,,,,,
,,SENS1:ACT:SWE:POW:START (.+),OK,"range:-85,10",,,,
,,SENS1:ACT:SWE:POW:START?,0,,,,,
,,SOUR1:DC:DIM:ORD (.+),OK,"enum:1,2,3,4",,,,
,,SOUR1:DC:DIM:ORD?,1,,,,,
,,SOUR1:DC:DIM:STAT (.+),OK,bool,,,,
,,SOUR1:DC:DIM:STAT?,OFF,,,,,
,,SOUR:DIM:CAT?,SOUR1,,,,,
,,SENS1:SA:DATA:FILE:TEXT:MARK:STAT (.+),OK,bool,,,,
,,SENS1:SA:DATA:FILE:TEXT:MARK:STAT?,OFF,,,,,
,,SENS1:SA:DATA:THR:STAT (.+),OK,bool,,,,
,,SENS1:SA:DATA:THR:STAT?,OFF,,,,,
,,SENS1:SA:DATA:THR:VAL (.+),OK,"range:-200,200",,,,
,,SENS1:SA:DATA:THR:VAL?,-100,,,,,
,,SENS1:SA:DATA:WFAC?,1,,,,,
,,SENS1:ACT:DISP:INT:STAT (.+),OK,bool,,,,
,,SENS1:ACT:DISP:INT:STAT?,OFF,,,,,
,,SOUR:PHASE:CONT:ITER (.+),OK,"range:1,100",,,,
,,SOUR:PHASE:CONT:ITER?,10,,,,,
,,SOUR:PHASE:CONT:TOL (.+),OK,"range:0.001,10",,,,
,,SOUR:PHASE:CONT:TOL?,0.1,,,,,
,,SOUR:PHASE:CORR:DATA (.+),OK,,,,,
,,SOUR:PHASE:CORR:DATA?,1,2,3,,,
,,SOUR:PHASE:CORR:STAT (.+),OK,bool,,,,
,,SOUR:PHASE:CORR:STAT?,OFF,,,,,
,,SOUR:PHASE:POFF:CORR:DATA (.+),OK,,,,,
,,SOUR:PHASE:POFF:CORR:DATA?,1,2,3,,,
,,SOUR:PHASE:POFF:CORR:STAT (.+),OK,bool,,,,
,,SOUR:PHASE:POFF:CORR:STAT?,OFF,,,,,
,,SOUR:PHASE:POFF:FIX (.+),OK,"range:-100,100",,,,
,,SOUR:PHASE:POFF:FIX?,0,,,,,
,,SOUR:PHASE:POFF:START (.+),OK,"range:-100,100",,,,
,,SOUR:PHASE:POFF:START?,0,,,,,
,,SOUR:PHASE:POFF:STOP (.+),OK,"range:-100,100",,,,
,,SOUR:PHASE:POFF:STOP?,0,,,,,
,,SYST:BEEP,OK,,,,,
,,SYST:CONF:CHAN:NEW (.+),OK,"enum:STD,MIX,GC,NFA",,,,
,,SYST:CONF:CHAN:NEW?,STD,,,,,
,,SYST:CONF:TRAC:NEW (.+),OK,,,,,
,,"SYST:CONF:TRAC:NEW ""S11""",OK,,,,,
,,SYST:CONF:TRAC:DEL (.+),OK,,,,,
,,"SYST:CONF:TRAC:DEL ""S11""",OK,,,,,
,,SYST:CONF:CHAN:DEL,OK,,,,,
,,SYST:CONF:CHAN:DEL?,0,,,,,
,,SENS1:GC:COMP:STAT (.+),OK,bool,,,,
,,SENS1:GC:COMP:STAT?,OFF,,,,,
,,SENS1:GC:COMP:POW (.+),OK,"range:-85,10",,,,
,,SENS1:GC:COMP:POW?,0,,,,,
,,SENS1:GC:COMP:DB (.+),OK,"range:0,100",,,,
,,SENS1:GC:COMP:DB?,3,,,,,
,,SENS1:GC:COMP:REF (.+),OK,"enum:INT,EXT",,,,
,,SENS1:GC:COMP:REF?,INT,,,,,
,,SENS1:MIX:FREQ:FIX (.+),OK,"range:10e3,50e9",,,,
,,SENS1:MIX:FREQ:FIX?,1000000000,,,,,
,,SENS1:MIX:FREQ:LO (.+),OK,"range:10e3,50e9",,,,
,,SENS1:MIX:FREQ:LO?,1000000000,,,,,
,,SENS1:MIX:FREQ:IF (.+),OK,"range:10e3,50e9",,,,
,,SENS1:MIX:FREQ:IF?,1000000000,,,,,
,,SENS1:MIX:MODE (.+),OK,"enum:UP,DOWN",,,,
,,SENS1:MIX:MODE?,UP,,,,,
,,SENS1:MIX:SEGM1:FREQ:START (.+),OK,"range:10e3,50e9",,,,
,,SENS1:MIX:SEGM1:FREQ:START?,1000000000,,,,,
,,SENS1:MIX:SEGM1:FREQ:STOP (.+),OK,"range:10e3,50e9",,,,
,,SENS1:MIX:SEGM1:FREQ:STOP?,2000000000,,,,,
,,SENS1:MIX:SEGM1:POW (.+),OK,"range:-85,10",,,,
,,SENS1:MIX:SEGM1:POW?,0,,,,,
,,SENS1:MIX:SEGM1:SWE:POIN (.+),OK,"range:2,100001",,,,
,,SENS1:MIX:SEGM1:SWE:POIN?,201,,,,,
